date,v5c,v5b,v5,spy
2007-01-04,0.000000,0.000000,0.000000,0.002122
2007-01-05,0.000000,0.000000,0.000000,-0.001712
2007-01-08,0.000000,0.000000,0.000000,-0.000302
2007-01-09,0.000000,0.000000,0.000000,-0.000268
2007-01-10,0.000000,0.000000,0.000000,0.006853
2007-01-11,0.000000,0.000000,0.000000,-0.001869
2007-01-12,0.000000,0.000000,0.000000,0.001053
2007-01-16,0.000000,0.000000,0.000000,-0.003986
2007-01-17,0.000000,0.000000,0.000000,-0.004348
2007-01-18,0.000000,0.000000,0.000000,-0.005183
2007-01-19,0.000000,0.000000,0.000000,0.002479
2007-01-22,0.000000,0.000000,0.000000,-0.004950
2007-01-23,0.000000,0.000000,0.000000,0.000273
2007-01-24,0.000000,0.000000,0.000000,0.015326
2007-01-25,0.000000,0.000000,0.000000,-0.010281
2007-01-26,0.000000,0.000000,0.000000,0.001737
2007-01-29,0.000000,0.000000,0.000000,-0.001523
2007-01-30,0.000000,0.000000,0.000000,0.005052
2007-01-31,0.006031,0.006031,0.006031,0.006052
2007-02-01,0.004065,0.004065,0.004065,0.004086
2007-02-02,0.001835,0.001835,0.001835,0.001856
2007-02-05,0.003009,0.003009,0.003009,0.003029
2007-02-06,-0.004922,-0.004922,-0.004922,-0.004901
2007-02-07,0.001951,0.001951,0.001951,0.001972
2007-02-08,0.005167,0.005167,0.005167,0.005188
2007-02-09,-0.019521,-0.019521,-0.019521,-0.019501
2007-02-12,0.014735,0.014735,0.014735,0.014756
2007-02-13,0.009200,0.009200,0.009200,0.009220
2007-02-14,-0.003246,-0.003246,-0.003246,-0.003225
2007-02-15,0.008209,0.008209,0.008209,0.008230
2007-02-16,0.000162,0.000162,0.000162,0.000183
2007-02-20,-0.001118,-0.001118,-0.001118,-0.001097
2007-02-21,0.000957,0.000957,0.000957,0.000978
2007-02-22,-0.002161,-0.002161,-0.002161,-0.002140
2007-02-23,-0.007125,-0.007125,-0.007125,-0.007104
2007-02-26,-0.001523,-0.001523,-0.001523,-0.001502
2007-02-27,-0.029709,-0.029709,-0.029709,-0.038473
2007-02-28,0.003187,0.003187,0.003187,0.009576
2007-03-01,0.001836,0.001836,0.001836,0.000290
2007-03-02,0.002041,0.002041,0.002041,-0.005483
2007-03-05,0.006638,0.006638,0.006638,0.001737
2007-03-06,-0.000412,-0.000412,-0.000412,0.009529
2007-03-07,0.002006,0.002006,0.002006,0.001646
2007-03-08,0.003263,0.003263,0.003263,0.008611
2007-03-09,-0.001942,-0.001942,-0.001942,-0.001993
2007-03-12,0.001470,0.001470,0.001470,0.002518
2007-03-13,-0.005606,-0.005606,-0.005606,-0.017691
2007-03-14,-0.001936,-0.001936,-0.001936,0.002204
2007-03-15,0.000589,0.000589,0.000589,0.001461
2007-03-16,-0.003116,-0.003116,-0.003116,-0.004811
2007-03-19,0.003362,0.003362,0.003362,0.010187
2007-03-20,-0.005311,-0.005311,-0.005311,-0.002551
2007-03-21,0.003878,0.003878,0.003878,0.013147
2007-03-22,0.001228,0.001228,0.001228,0.000864
2007-03-23,0.001879,0.001879,0.001879,0.002786
2007-03-26,-0.002643,-0.002643,-0.002643,-0.003500
2007-03-27,0.001029,0.001029,0.001029,-0.000236
2007-03-28,-0.003402,-0.003402,-0.003402,-0.007591
